5,10,7 (always lottery A)
5,6,6
4,1,2
10,14 (always lottery A),1
6,6,2
6,10,1
4,11,3
9,0 I would never choose lottery A,0 I would never choose lottery A
0 I would never choose lottery A,14 (always lottery A),1
5,11,2
12 (always lottery A),1,0 I would never choose lottery A
12 (always lottery A),14 (always lottery A),0 I would never choose lottery A
8,14 (always lottery A),7 (always lottery A)
4,0 I would never choose lottery A,2
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
12 (always lottery A),0 I would never choose lottery A,3
0 I would never choose lottery A,7,1
7,7,7 (always lottery A)
0 I would never choose lottery A,13,0 I would never choose lottery A
7,11,4
0 I would never choose lottery A,0 I would never choose lottery A,1
2,0 I would never choose lottery A,1
12 (always lottery A),10,2
6,3,1
9,12,6
5,5,2
7,11,4
7,12,2
11,1,4
4,11,7 (always lottery A)
4,7,1
3,8,3
5,9,7 (always lottery A)
7,14 (always lottery A),0 I would never choose lottery A
3,10,4
12 (always lottery A),12,5
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
5,7,1
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
5,14 (always lottery A),3
2,3,2
2,6,1
12 (always lottery A),0 I would never choose lottery A,0 I would never choose lottery A
4,7,3
4,11,4
,,
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
8,7,1
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
0 I would never choose lottery A,1,7 (always lottery A)
0 I would never choose lottery A,14 (always lottery A),1
5,2,3
7,0 I would never choose lottery A,5
0 I would never choose lottery A,0 I would never choose lottery A,5
8,10,4
8,11,4
7,7,1
3,0 I would never choose lottery A,0 I would never choose lottery A
3,5,7 (always lottery A)
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
7,14 (always lottery A),0 I would never choose lottery A
,,
4,6,4
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
8,6,5
,,
,,
9,13,3
0 I would never choose lottery A,0 I would never choose lottery A,3
12 (always lottery A),14 (always lottery A),7 (always lottery A)
2,0 I would never choose lottery A,5
4,6,2
11,13,1
0 I would never choose lottery A,12,3
8,8,6
6,0 I would never choose lottery A,1
12 (always lottery A),14 (always lottery A),2
3,6,3
5,4,3
3,3,3
12 (always lottery A),14 (always lottery A),7 (always lottery A)
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
0 I would never choose lottery A,4,1
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
0 I would never choose lottery A,0 I would never choose lottery A,2
0 I would never choose lottery A,2,0 I would never choose lottery A
4,10,7 (always lottery A)
4,5,3
12 (always lottery A),14 (always lottery A),5
6,10,3
4,5,3
3,2,3
2,8,6
0 I would never choose lottery A,5,0 I would never choose lottery A
5,6,0 I would never choose lottery A
12 (always lottery A),3,3
5,9,1
12 (always lottery A),14 (always lottery A),7 (always lottery A)
12 (always lottery A),14 (always lottery A),7 (always lottery A)
0 I would never choose lottery A,10,0 I would never choose lottery A
0 I would never choose lottery A,9,2
5,5,3
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
12 (always lottery A),12,6
6,7,4
4,10,3
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
7,4,4
0 I would never choose lottery A,0 I would never choose lottery A,1
5,11,3
3,0 I would never choose lottery A,1
12 (always lottery A),14 (always lottery A),0 I would never choose lottery A
9,11,6
9,9,1
8,10,4
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
4,4,0 I would never choose lottery A
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
3,0 I would never choose lottery A,1
5,11,2
6,5,4
6,0 I would never choose lottery A,2
,,
,,
3,10,4
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
7,3,2
12 (always lottery A),10,0 I would never choose lottery A
8,2,3
3,0 I would never choose lottery A,0 I would never choose lottery A
0 I would never choose lottery A,0 I would never choose lottery A,0 I would never choose lottery A
9,10,6
4,5,2
5,5,3
4,0 I would never choose lottery A,1
3,1,0 I would never choose lottery A
