,S1.point,S2.point,S3.point,sigma,lambda,gamma
0,0,0,0,0.07500000000000001,11.1,0.575
1,0,0,1,0.07500000000000001,0.675,0.575
2,0,0,2,0.07500000000000001,1.625,0.575
3,0,0,3,0.07500000000000001,2.2,0.575
4,0,0,4,0.07500000000000001,3.55,0.575
5,0,0,5,0.07500000000000001,5.225,0.575
6,0,0,6,0.07500000000000001,8.075,0.575
7,0,0,7,0.07500000000000001,0.07500000000000001,0.575
8,0,1,0,0.35,10.575,1.55
9,0,1,1,0.35,0.7500000000000001,1.55
10,0,1,2,0.35,1.625,1.55
11,0,1,3,0.35,2.075,1.55
12,0,1,4,0.35,3.475,1.55
13,0,1,5,0.35,4.775,1.55
14,0,1,6,0.35,7.6,1.55
15,0,1,7,0.35,0.125,1.55
16,0,2,0,0.31249999999999994,10.575,1.4625
17,0,2,1,0.31249999999999994,0.7500000000000001,1.4625
18,0,2,2,0.31249999999999994,1.625,1.4625
19,0,2,3,0.31249999999999994,2.075,1.4625
20,0,2,4,0.31249999999999994,3.475,1.4625
21,0,2,5,0.31249999999999994,4.8,1.4625
22,0,2,6,0.31249999999999994,7.625,1.4625
23,0,2,7,0.31249999999999994,0.1,1.4625
24,0,3,0,0.28750000000000003,10.6,1.4
25,0,3,1,0.28750000000000003,0.7500000000000001,1.4
26,0,3,2,0.28750000000000003,1.625,1.4
27,0,3,3,0.28750000000000003,2.075,1.4
28,0,3,4,0.28750000000000003,3.475,1.4
29,0,3,5,0.28750000000000003,4.824999999999999,1.4
30,0,3,6,0.28750000000000003,7.65,1.4
31,0,3,7,0.28750000000000003,0.1,1.4
32,0,4,0,0.275,10.6,1.325
33,0,4,1,0.275,0.7250000000000001,1.325
34,0,4,2,0.275,1.625,1.325
35,0,4,3,0.275,2.075,1.325
36,0,4,4,0.275,3.475,1.325
37,0,4,5,0.275,4.85,1.325
38,0,4,6,0.275,7.675000000000001,1.325
39,0,4,7,0.275,0.1,1.325
40,0,5,0,0.25,10.625,1.275
41,0,5,1,0.25,0.7250000000000001,1.275
42,0,5,2,0.25,1.625,1.275
43,0,5,3,0.25,2.075,1.275
44,0,5,4,0.25,3.475,1.275
45,0,5,5,0.25,4.875,1.275
46,0,5,6,0.25,7.7,1.275
47,0,5,7,0.25,0.1,1.275
48,0,6,0,0.2375,10.625,1.2
49,0,6,1,0.2375,0.7250000000000001,1.2
50,0,6,2,0.2375,1.625,1.2
51,0,6,3,0.2375,2.1,1.2
52,0,6,4,0.2375,3.475,1.2
53,0,6,5,0.2375,4.9,1.2
54,0,6,6,0.2375,7.7,1.2
55,0,6,7,0.2375,0.1,1.2
56,0,7,0,0.21250000000000002,10.675,1.1375000000000002
57,0,7,1,0.21250000000000002,0.7250000000000001,1.1375000000000002
58,0,7,2,0.21250000000000002,1.625,1.1375000000000002
59,0,7,3,0.21250000000000002,2.1,1.1375000000000002
60,0,7,4,0.21250000000000002,3.5,1.1375000000000002
61,0,7,5,0.21250000000000002,4.925,1.1375000000000002
62,0,7,6,0.21250000000000002,7.75,1.1375000000000002
63,0,7,7,0.21250000000000002,0.1,1.1375000000000002
64,0,8,0,0.1875,10.725,1.0625
65,0,8,1,0.1875,0.7000000000000001,1.0625
66,0,8,2,0.1875,1.625,1.0625
67,0,8,3,0.1875,2.125,1.0625
68,0,8,4,0.1875,3.5,1.0625
69,0,8,5,0.1875,4.975,1.0625
70,0,8,6,0.1875,7.800000000000001,1.0625
71,0,8,7,0.1875,0.1,1.0625
72,0,9,0,0.175,10.75,0.9874999999999999
73,0,9,1,0.175,0.7000000000000001,0.9874999999999999
74,0,9,2,0.175,1.625,0.9874999999999999
75,0,9,3,0.175,2.125,0.9874999999999999
76,0,9,4,0.175,3.5,0.9874999999999999
77,0,9,5,0.175,5.0,0.9874999999999999
78,0,9,6,0.175,7.825,0.9874999999999999
79,0,9,7,0.175,0.1,0.9874999999999999
80,0,10,0,0.15000000000000002,10.825,0.9125000000000001
81,0,10,1,0.15000000000000002,0.7000000000000001,0.9125000000000001
82,0,10,2,0.15000000000000002,1.625,0.9125000000000001
83,0,10,3,0.15000000000000002,2.125,0.9125000000000001
84,0,10,4,0.15000000000000002,3.5,0.9125000000000001
85,0,10,5,0.15000000000000002,5.05,0.9125000000000001
86,0,10,6,0.15000000000000002,7.875,0.9125000000000001
87,0,10,7,0.15000000000000002,0.07500000000000001,0.9125000000000001
88,0,11,0,0.1375,10.85,0.85
89,0,11,1,0.1375,0.7000000000000001,0.85
90,0,11,2,0.1375,1.625,0.85
91,0,11,3,0.1375,2.15,0.85
92,0,11,4,0.1375,3.5,0.85
93,0,11,5,0.1375,5.074999999999999,0.85
94,0,11,6,0.1375,7.9,0.85
95,0,11,7,0.1375,0.07500000000000001,0.85
96,0,12,0,0.11249999999999999,10.95,0.7625
97,0,12,1,0.11249999999999999,0.7000000000000001,0.7625
98,0,12,2,0.11249999999999999,1.625,0.7625
99,0,12,3,0.11249999999999999,2.15,0.7625
100,0,12,4,0.11249999999999999,3.5250000000000004,0.7625
101,0,12,5,0.11249999999999999,5.125,0.7625
102,0,12,6,0.11249999999999999,7.95,0.7625
103,0,12,7,0.11249999999999999,0.07500000000000001,0.7625
104,0,13,0,0.1,11.0,0.6875
105,0,13,1,0.1,0.675,0.6875
106,0,13,2,0.1,1.625,0.6875
107,0,13,3,0.1,2.175,0.6875
108,0,13,4,0.1,3.5250000000000004,0.6875
109,0,13,5,0.1,5.15,0.6875
110,0,13,6,0.1,8.0,0.6875
111,0,13,7,0.1,0.07500000000000001,0.6875
112,0,14,0,0.7875,10.575,1.9
