"","ID","Country","CID","startdate","enddate","status","progress","Duration","finished","recordeddate","responseid","distributionchannel","userlanguage","q_recaptchascore","q1","q108","q109","q_example1","q_example_2","example1payoff","series_1_question","series2_question","series3_question","followuplotteries_1","followuplotteries_2","followuplotteries_3","trust","farm_risks_1","farm_risks_2","farm_risks_3","farm_risks_4","farm_risks_5","risk_attitude_1","risk_attitude_2","risk_attitude_3","risk_attitude_4","gender","birth","birth_4_text","hhsize","hhsize_4_text","children","children_4_text","hh_income","wealth","education","q85","q85_8_text","q80","q80_8_text","q86_4","q100","q101_1","q90","q90_4_text","q99","q99_5_text","q92","q92_4_text","q93","q102","share_subsidies_1","q17","Age","NbChildren","EducSup","Trust","FarmSize","LandOwned","IndivOwner","Difficult","ChoiceRandom","ToomanyLot","Sex","IDfarm","pw","DateEnquete"
"1",1,"Austria","Austria1","2021-09-27 12:20:43","2021-09-27 12:27:56",0,100,  00:07:12,1,"2021-09-27 12:27:56","R_32XachulKXNPbfQ","anonymous","DE",1,1,5,4,3,6,NA,7,11,3,2,84,1,1,1,1,2,1,2,6,6,6,6,1,4,1970,4,"4",4,"1",9,12,7,NA,200,NA,NA,93,2,NA,1,"",4,"",1,"",7,5,35,"",51,1,1,1,2,0.93,1,2,4,1,"Males",NA,NA,NA
"2",2,"Austria","Austria2","2021-09-27 12:29:14","2021-09-27 12:36:02",0,100,  00:06:48,1,"2021-09-27 12:36:04","R_3Gk313w4Yp8BWmO","anonymous","DE",0.899999976158142,1,1,1,3,6,4,0,14,0,2,2,3,1,1,1,3,3,3,6,6,5,7,1,4,1972,4,"6",4,"4",9,12,7,NA,300,NA,NA,40,1,61,5,"",1,"",1,"",5,6,51,"",49,4,1,1,3,0.4,1,2,2,3,"Males",NA,NA,NA
"3",3,"Austria","Austria3","2021-09-27 12:45:33","2021-09-27 12:50:35",0,100,  00:05:01,1,"2021-09-27 12:50:37","R_1P6GxdZbaGdZv3b","anonymous","DE",1,1,1,1,3,6,4,6,8,6,3,2,3,NA,1,2,2,1,3,6,6,7,7,2,4,1975,4,"2",NA,"",12,16,5,NA,10,NA,NA,100,2,NA,1,"",4,"",1,"",1,14,NA,"Etwas einfacher, bitte, den nächsten Fragebogen",46,NA,1,NA,0.1,1,1,3,2,3,"Females",NA,NA,NA
"4",4,"Austria","Austria4","2021-09-27 13:02:28","2021-09-27 13:08:14",0,100,  00:05:45,1,"2021-09-27 13:08:15","R_VItQKg0Mo99R9qV","anonymous","DE",1,1,5,4,3,6,4,7,6,1,84,2,1,1,1,1,1,1,2,7,5,5,7,1,4,1958,4,"2",4,"0",8,12,5,NA,450,NA,NA,41,1,33,NA,"",1,"",1,"",8,5,28,"",63,0,1,1,4.5,0.41,1,4,2,1,"Males",NA,NA,NA
"5",5,"Austria","Austria5","2021-09-27 13:10:05","2021-09-27 13:14:50",0,100,  00:04:44,1,"2021-09-27 13:14:50","R_b7Mi68DA9mwrdaF","anonymous","DE",1,1,1,1,3,6,4,4,0,2,2,84,3,4,1,1,2,1,2,6,6,5,5,1,4,1963,4,"4",4,"2",9,14,5,NA,135,NA,NA,100,2,NA,1,"",4,"",1,"",1,5,54,"",58,2,1,0,1.35,1,1,2,4,3,"Males",NA,NA,NA
"6",6,"Austria","Austria6","2021-09-27 16:28:53","2021-09-27 16:35:16",0,100,  00:06:22,1,"2021-09-27 16:35:18","R_3fjwbotiuec3Zqn","anonymous","DE",1,1,4,1,3,6,4,5,8,5,84,2,3,NA,1,3,3,1,2,5,6,5,5,1,4,1997,4,"4",4,"0",6,3,7,NA,38,NA,NA,100,2,NA,1,"",4,"",1,"",5,15,28,"Gute Einführung erleichterte das Ausfüllen",24,0,1,NA,0.38,1,1,4,2,3,"Males",NA,NA,NA
"7",7,"Austria","Austria7","2021-09-27 16:45:37","2021-09-27 16:50:37",0,100,  00:04:59,1,"2021-09-27 16:50:38","R_2PkjtRVVmcmcW39","anonymous","DE",1,1,1,1,3,6,NA,4,10,5,1,2,1,4,1,1,2,2,3,6,4,6,4,1,NA,NA,4,"4",4,"0",6,13,7,NA,55,NA,NA,100,2,NA,5,"",4,"",1,"",5,15,46,"",NA,0,1,0,0.55,1,1,1,2,1,"Males",NA,NA,NA
"8",8,"Austria","Austria8","2021-09-27 16:59:34","2021-09-27 17:03:25",0,100,  00:03:51,1,"2021-09-27 17:03:25","R_22PrPfETXJCnRPM","anonymous","DE",1,1,1,1,3,6,NA,1,13,3,1,1,1,NA,2,2,1,3,1,6,7,4,6,1,4,1998,4,"3",4,"1",1,12,5,NA,39,NA,NA,100,2,NA,1,"",4,"",1,"",5,15,34,"",23,1,1,NA,0.39,1,1,1,1,1,"Males",NA,NA,NA
"9",9,"Austria","Austria9","2021-09-28 09:27:58","2021-09-28 09:40:21",0,100,  00:12:22,1,"2021-09-28 09:40:22","R_3ly3nFI9285ChoV","anonymous","DE",0.899999976158142,1,1,1,3,6,NA,2,4,1,1,1,1,1,2,1,2,2,2,6,6,6,6,1,4,1985,4,"4",NA,"",8,14,7,NA,125,NA,NA,100,2,NA,1,"",4,"",1,"",1,19,26,"",36,NA,1,1,1.25,1,1,1,1,1,"Males",NA,NA,NA
"10",10,"Austria","Austria10","2021-09-28 09:57:53","2021-09-28 10:31:20",0,100,  00:33:26,1,"2021-09-28 10:31:20","R_1KoIGhhN7kawzdg","anonymous","DE",0.899999976158142,1,5,4,3,6,4,0,5,2,1,2,1,1,1,1,1,1,1,5,5,4,4,2,4,1963,4,"3",4,"0",5,13,5,NA,55,NA,NA,100,2,NA,5,"",4,"",1,"",8,15,19,"",58,0,1,1,0.55,1,1,1,2,1,"Females",NA,NA,NA
